Kabupaten,Tahun,persentase_kemiskinan,rls,keluhan_kesehatan,tpt,kejahatan,puskesmas
Kabupaten Tulungagung,2021,7.51,8.34,30.93,4.91,749,32
Kabupaten Blitar,2021,9.65,7.5,35.1,3.66,271,24
Kabupaten Kediri,2021,11.64,8.08,25.72,5.15,840,37
Kabupaten Malang,2021,10.5,7.43,30.22,5.4,1997,39
Kabupaten Lumajang,2021,10.05,6.67,17.58,3.51,589,25
Kabupaten Jember,2021,10.41,6.49,37.54,5.44,1574,50
Kabupaten Banyuwangi,2021,8.07,7.42,38.34,5.42,1312,45
Kabupaten Bondowoso,2021,14.73,5.94,28.43,4.46,679,25
Kabupaten Situbondo,2021,12.63,6.62,31.0,3.68,341,20
Kabupaten Probolinggo,2021,18.91,6.12,30.26,4.55,379,33
Kabupaten Pasuruan,2021,9.7,7.41,20.04,6.03,994,33
Kabupaten Sidoarjo,2021,5.93,10.72,31.7,10.87,1013,27
Kabupaten Mojokerto,2021,10.62,8.64,21.46,5.54,691,27
Kabupaten Jombang,2021,10.0,8.55,33.69,7.09,401,34
Kabupaten Nganjuk,2021,11.85,7.78,21.51,4.98,428,20
Kabupaten Madiun,2021,11.91,7.82,14.94,4.99,103,26
Kabupaten Magetan,2021,10.66,8.36,23.56,3.86,876,22
Kabupaten Ngawi,2021,15.57,7.26,31.16,4.25,1107,24
Kabupaten Bojonegoro,2021,13.27,7.38,29.73,4.82,430,36
Kabupaten Tuban,2021,16.31,7.18,18.49,4.68,570,33
Kabupaten Lamongan,2021,13.86,8.04,19.7,4.9,338,33
Kabupaten Gresik,2021,12.42,9.56,15.1,8.0,1803,32
Kabupaten Bangkalan,2021,21.57,5.96,21.86,8.07,935,22
Kabupaten Sampang,2021,23.76,4.86,40.43,3.45,663,22
Kabupaten Pamekasan,2021,15.3,6.7,22.93,3.1,647,21
Kabupaten Sumenep,2021,20.51,5.92,23.19,2.31,198,30
Kota Kediri,2021,7.75,10.15,22.09,6.37,506,9
